M of C2H2__12C2-1H2__aCeTY,I,v,S,A,gm_a,gm_s,E_f,n_a,dt_a,V_i,V_f,Q_i,Q_f,Ierr,Iref,*,g_i,g_f
26,1,5020.780424000001,1.0354412052875584e-36,1.5492e-06,,,4775.177140999999,,, 1 2 0 1 0 1 0A2u, 0 1 0 1 1 0 0E2g,  10A2u  0A1g,  11A2g  2E2g,0.0005,,,63,69
26,1,5020.861067999999,2.1716473983536907e-33,0.00024166,,,4306.959802,,, 1 2 0 0 0 0 1E1u, 1 0 0 2 0 0 1E1g,  14A2u  1E1g,  15A2g  1E1g,0.0003162277660168379,,,87,93
26,1,5021.718638,3.4858369066823896e-37,4.9261e-06,,,5091.177292,,, 0 3 0 0 0 0 0A2u, 0 1 0 0 1 0 1E2g,  15A1u  0A2g,  15A1g  2E2g,0.0010295630140987001,,,31,31
26,1,5022.097286000001,1.3711576766626745e-35,2.1766999999999997e-05,,,4823.127197999999,,, 1 2 0 0 1 0 1E2u, 0 1 0 0 2 0 0A1g,  12A2u  2E2g,  13A2g  0A2g,0.00058309518948453,,,75,81
26,1,5023.170963999999,7.549491037264016e-34,0.0018545000000000002,,,4856.3940170000005,,, 1 2 0 0 2 0 0A1g, 0 1 0 0 0 0 2A2u,   9A2g  0A2g,  10A2u  0A1g,0.000565685424949238,,,57,63
26,1,5025.977814000001,2.56223802805913e-37,3.7330999999999995e-07,,,4725.815953,,, 1 2 0 1 0 1 0A2u, 0 1 0 1 1 0 0E2g,   8A2u  0A1g,   9A2g  2E2g,0.0008602325267042626,,,51,57
26,1,5027.842973000001,9.850690985066332e-35,0.00015242,,,4817.381511,,, 1 2 0 0 1 0 1E2u, 1 0 0 2 0 2 0E2g,  12A2u  2E2g,  13A2g  2E2g,0.00058309518948453,,,75,81
26,1,5028.936126,1.269725152707972e-34,0.00030398,,,4850.628855,,, 1 2 0 0 2 0 0A1g, 1 0 0 1 3 0 0E2u,   9A2g  0A2g,  10A2u  2E2g,0.0007211102550927978,,,57,63
26,1,5029.226266999998,1.4249596777309866e-37,7.6665e-06,,,5511.491893,,, 0 3 0 0 0 0 1E1u, 0 1 0 0 3 0 0E1g,  10A2u  1E1g,  10A2g  1E1g,0.0008062257748298549,,,63,63
26,1,5031.532194,1.521796329954239e-33,0.0021701999999999997,,,4764.425371,,, 1 2 0 1 0 1 0A2u, 0 1 0 0 2 0 0A1g,  10A2u  0A1g,  11A2g  0A2g,0.0005,,,63,69
26,1,5033.560307999999,1.764600540208015e-36,5.5957e-05,,,5495.366702,,, 0 3 0 0 0 0 1E1u, 0 1 0 0 2 1 0E1g,  16A2u  1E1g,  15A2g  1E1g,0.0006324555320336758,,,99,93
26,1,5034.216853999999,1.1226144319659987e-29,7.6287e-06,,,1907.081742,,, 1 1 0 1 0 1 0A2u, 0 0 0 0 1 0 1E2g,  20A2u  0A1g,  19A2g  2E2g,0.0004123105625617661,,,123,117
26,1,5034.358165,4.444637932500462e-30,0.0030026999999999996,,,3294.448,,, 0 2 0 0 1 0 1E2u, 0 0 0 0 0 0 4E2g,  17A2u  2E2g,  18A2g  2E2g,0.00058309518948453,,,105,111
26,1,5035.435063000001,2.0884738632067548e-29,0.0017324999999999999,,,2714.323691,,, 1 1 0 2 0 2 0A2u, 0 0 0 0 2 0 2A1g,   8A2u  0A1g,   7A2g  0A2g,0.0005099019513592785,,,51,45
26,1,5036.812976999999,5.1177771879418065e-30,0.0029935,,,3252.49838,,, 0 2 0 0 1 0 1E2u, 0 0 0 0 0 0 4E2g,  16A2u  2E2g,  17A2g  2E2g,0.0009055385138137417,,,99,105
26,1,5036.840913000001,1.0498578073758495e-32,0.00093164,,,4228.55303,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,  12A2u  1E1g,  13A2g  1E1g,0.0005099019513592785,,,75,81
26,1,5037.401266000001,4.3409007851349106e-36,6.0304e-06,,,4758.556299,,, 1 2 0 1 0 1 0A2u, 1 0 0 2 0 2 0E2g,  10A2u  0A1g,  11A2g  2E2g,0.0005,,,63,69
26,1,5038.580917,2.4176281065243392e-37,5.5550999999999995e-06,,,5387.397553,,, 0 3 0 0 0 0 1E1u, 0 1 0 0 2 0 1E1g,  13A2u  1E1g,  13A2g  1E1g,0.000848528137423857,,,81,81
26,1,5038.704920999999,1.2640245753967175e-36,1.9403e-06,,,4984.411489,,, 1 2 0 0 0 0 1E1u, 0 1 0 0 0 0 1E1g,  28A2u  1E1g,  29A2g  1E1g,0.0009219544457292887,,,171,177
26,1,5039.367305999999,2.144453159916721e-33,0.0049004,,,4840.197675,,, 1 2 0 0 2 0 0A1g, 1 0 0 0 4 0 0A2u,   9A2g  0A2g,  10A2u  0A1g,0.0006403124237432849,,,57,63
26,1,5040.732558000001,1.4320802894155122e-35,2.7116999999999998e-05,,,4902.126985,,, 1 2 0 0 1 0 1E2u, 0 1 0 1 1 0 0E2g,  15A2u  2E2g,  15A2g  2E2g,0.00058309518948453,,,93,93
26,1,5041.447692999999,7.8014869043886e-37,9.258200000000001e-07,,,4725.815953,,, 0 3 0 0 0 0 0A2u, 0 1 0 1 1 0 0E2g,  10A2u  0A1g,   9A2g  2E2g,0.0006403124237432849,,,63,57
26,1,5042.161472,1.192362506062282e-32,0.00094985,,,4170.045548,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,  10A2u  1E1g,  11A2g  1E1g,0.0005099019513592785,,,63,69
26,1,5042.282918999999,1.2940452456501166e-30,0.00030716,,,2840.489338,,, 0 2 0 1 1 0 0E2g, 0 0 0 3 0 0 1E2u,   5A2g  2E2g,   6A2u  2E2g,0.0007211102550927978,,,33,39
26,1,5042.365184000001,4.9059301471734805e-37,6.7596e-07,,,4775.177140999999,,, 1 2 0 0 1 0 1E2u, 0 1 0 1 1 0 0E2g,  11A2u  2E2g,  11A2g  2E2g,0.0009486832980505138,,,69,69
26,1,5042.649395000001,2.5583244242075088e-36,3.4600999999999997e-06,,,4709.144372,,, 1 2 0 1 0 1 0A2u, 1 0 0 2 0 2 0E2g,   8A2u  0A1g,   9A2g  2E2g,0.0009219544457292887,,,51,57
26,1,5043.105222,2.2792132226186422e-29,0.0038044000000000003,,,3017.5406399999997,,, 1 1 0 0 2 0 2E2u, 1 0 0 0 0 0 1E1g,  18A2u  2E2g,  19A2g  1E1g,0.0010630145812734648,,,111,117
26,1,5043.232441,9.658498795142133e-34,0.0011370999999999998,,,4724.031204999999,,, 0 3 0 0 0 0 0A2u, 0 1 0 1 0 1 0A1g,  10A2u  0A1g,  11A2g  0A2g,0.0004123105625617661,,,63,69
26,1,5043.9198049999995,5.769557586670447e-29,3.7545e-05,,,1897.378791,,, 1 1 0 1 0 1 0A2u, 0 0 0 0 0 0 2A1g,  20A2u  0A1g,  19A2g  0A2g,0.0005099019513592785,,,123,117
26,1,5044.136288,1.611391621821595e-35,0.00059392,,,5451.173992,,, 0 3 0 1 0 0 0E1g, 0 1 0 3 0 0 0E1u,  11A2g  1E1g,  12A2u  1E1g,0.000565685424949238,,,69,75
26,1,5044.608606000001,3.472038123954747e-36,9.210399999999999e-06,,,4855.487722999999,,, 1 2 0 0 0 0 1E1u, 0 1 0 0 0 0 1E1g,  26A1u  1E1g,  27A1g  1E1g,0.0005,,,53,55
26,1,5047.146662000001,1.0634401348155973e-37,1.4097000000000002e-07,,,4704.647105,,, 1 2 0 1 0 1 0A2u, 0 1 0 1 1 0 0E2g,   8A2u  0A1g,   8A2g  2E2g,0.0009219544457292887,,,51,51
26,1,5048.739436000002,4.270358085054718e-30,0.00071439,,,3017.5406399999997,,, 1 1 0 2 0 2 0A2u, 1 0 0 0 0 0 1E1g,  18A2u  0A1g,  19A2g  1E1g,0.0009219544457292887,,,111,117
26,1,5049.238868,4.893247983738891e-37,6.4262e-07,,,4702.554899000001,,, 1 2 0 1 0 1 0A2u, 0 1 0 0 1 1 0A2g,   8A2u  0A1g,   8A2g  0A1g,0.0009219544457292887,,,51,51
26,1,5049.283858000001,1.1385922429712822e-31,0.00031491,,,3478.116651,,, 0 2 0 0 2 1 0E1u, 0 1 0 0 0 0 0A1g,  10A2u  1E1g,   9A2g  0A2g,0.00022360679774997898,,,63,57
26,1,5049.766234,1.1811227522724791e-32,0.00094141,,,4100.315197999999,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,   7A2u  1E1g,   8A2g  1E1g,0.00044721359549995795,,,45,51
26,1,5051.030132000001,4.503266838397388e-33,0.00037509,,,4214.363811,,, 1 2 0 0 0 0 1E1u, 1 0 0 0 3 0 0E1g,  12A2u  1E1g,  13A2g  1E1g,0.0005099019513592785,,,75,81
26,1,5051.344854,8.071044931679687e-37,4.6986e-06,,,5038.701226,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,  29A1u  1E1g,  29A1g  1E1g,0.0007211102550927978,,,59,59
26,1,5051.667321000001,4.455166666813362e-37,8.034100000000001e-07,,,4891.192222,,, 1 2 0 0 1 0 1E2u, 0 1 0 0 2 0 0A1g,  15A2u  2E2g,  15A2g  0A2g,0.0006403124237432849,,,93,93
26,1,5052.67205,8.062821472048001e-36,1.441e-05,,,4902.126985,,, 0 3 0 0 0 0 0A2u, 0 1 0 1 1 0 0E2g,  16A2u  0A1g,  15A2g  2E2g,0.0008544003745317531,,,99,93
26,1,5053.116954,3.177496665214031e-37,4.1729e-07,,,4764.425371,,, 1 2 0 0 1 0 1E2u, 0 1 0 0 2 0 0A1g,  11A2u  2E2g,  11A2g  0A2g,0.0009486832980505138,,,69,69
26,1,5055.557513000001,1.1438975076817059e-29,0.00021043,,,2151.049099,,, 0 2 0 0 0 0 1E1u, 0 0 0 2 0 0 1E1g,   7A1u  1E1g,   8A1g  1E1g,0.0003162277660168379,,,15,17
26,1,5056.445484,2.031259440926408e-32,2.5827e-06,,,2710.9089280000003,,, 0 2 0 0 1 0 1E2u, 0 0 0 0 1 3 0A2g,   5A2u  2E2g,   6A2g  0A1g,0.0008062257748298549,,,33,39
26,1,5057.237807,5.607547352706955e-38,9.8638e-08,,,4885.621736,,, 1 2 0 0 1 0 1E2u, 1 0 0 2 0 2 0E2g,  15A2u  2E2g,  15A2g  2E2g,0.00058309518948453,,,93,93
26,1,5058.119274,1.6501478353627488e-36,1.8178e-06,,,4709.144372,,, 0 3 0 0 0 0 0A2u, 1 0 0 2 0 2 0E2g,  10A2u  0A1g,   9A2g  2E2g,0.0007211102550927978,,,63,57
26,1,5058.548438999999,3.73251199124106e-35,0.0012329,,,5388.145421,,, 0 3 0 1 0 0 0E1g, 1 1 0 0 0 0 0A2u,   9A2g  1E1g,  10A2u  0A1g,0.0007810249675906653,,,57,63
26,1,5058.9860260000005,1.5803984954171555e-36,2.0218000000000003e-06,,,4758.556299,,, 1 2 0 0 1 0 1E2u, 1 0 0 2 0 2 0E2g,  11A2u  2E2g,  11A2g  2E2g,0.0009486832980505138,,,69,69
26,1,5059.668487,6.223037089029852e-33,3.6731e-06,,,3252.49838,,, 2 1 0 1 0 0 0E1u, 0 0 0 0 0 0 4E2g,  16A2u  1E1g,  17A2g  2E2g,0.0005099019513592785,,,99,105
26,1,5062.770042,4.817029052768265e-38,6.3773e-08,,,4782.454442,,, 1 2 0 0 1 0 1E2u, 0 1 0 1 0 1 0A1g,  12A2u  2E2g,  13A2g  0A2g,0.00058309518948453,,,75,81
26,1,5063.117109999999,1.0955879024636574e-37,2.2517e-07,,,4816.447871,,, 1 2 0 0 2 0 0A1g, 0 1 0 1 1 0 0E2u,   9A2g  0A2g,  10A2u  2E2g,0.0005,,,57,63
26,1,5063.410724,1.4360965807866222e-31,3.0611e-05,,,3066.191949,,, 0 2 0 0 1 0 1E2u, 0 0 0 2 0 2 0E2g,  18A2u  2E2g,  18A2g  2E2g,0.000282842712474619,,,111,111
26,1,5063.606813,6.676079636966412e-34,0.0011363,,,4891.192222,,, 0 3 0 0 0 0 0A2u, 0 1 0 0 2 0 0A1g,  16A2u  0A1g,  15A2g  0A2g,0.0008944271909999159,,,99,93
26,1,5063.653063,1.5693599749532701e-34,1.0726e-07,,,3294.448,,, 0 2 0 0 1 1 0A1u, 0 0 0 0 0 0 4E2g,  17A2u  0A2g,  18A2g  2E2g,0.0006403124237432849,,,105,111
26,1,5063.656642,5.337600577292419e-29,0.0017265999999999998,,,2354.4472379999997,,, 0 2 0 1 0 0 0E1g, 0 0 0 0 0 3 0E1u,  11A1g  1E1g,  12A1u  1E1g,0.0007810249675906653,,,23,25
26,1,5063.839217000001,7.125366276635464e-37,8.767e-07,,,4687.95455,,, 1 2 0 1 0 1 0A2u, 1 0 0 2 0 2 0E2g,   8A2u  0A1g,   8A2g  2E2g,0.0009219544457292887,,,51,51
26,1,5066.300790000001,1.076036113791048e-34,0.0012462,,,5046.595139999999,,, 0 3 0 0 0 0 0A2u, 0 1 0 0 0 0 2A1g,  15A1u  0A2g,  14A1g  0A1g,0.0010816653826391967,,,31,29
